FILIAL	SEQ. SKU(s)	DESCRIÇÃO	EAN	UND EAN	DUN	UND DUN
202	01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	7898694171235	KG	17898694171232	-
202	01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	7898694171341	PT		N/A
202	01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	7898694171341	KG		-
202	01.02.0009	MASSA CONGELADA DE BAGUETE RAPIDA - 5KG	7898694171327	PT		N/A
202	01.02.0011	MASSA CONGELADA DE MINI BAGUETE RAPIDA - 5KG	7898694171280	PT		N/A
202	01.03.0019	MASSA CONGELADA DE ROSCA LISA (PAO DE LEITE) - CX 10 KG - 2 UN DE 5KG	7898694170801	PT	27898694170805	N/A
202	01.04.0001	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL PEQUENO 30G - 7KG	7898694170238	PT		N/A
202	01.04.0002	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL GRANDE 90G - 7KG	7898694171570	PT		N/A
202	01.04.0003	MASSA CONGELADA DE PAO DE QUEIJO EMPANADO BENJAMIN DE 15G - 4 KG	7898694171594	PT		N/A
202	01.04.0004	MASSA CONGELADA DE PAO DE QUEIJO EMPANADO BENJAMIN DE 80G - 4 KG	7898694173031	PT		N/A
202	01.04.0005	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM GOIABADA 100G - 1KG	7898694171600	PT		N/A
202	01.04.0006	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM REQUEIJAO BENJAMIN DE 100G - 1 KG	7898694171617	PT	27898694171611	N/A
202	01.04.0008	PAO DE QUEIJO EMPANADO 30G - CX 10KG - 5 UN DE 2KG	7898694170306	PT	17898694170303	CAIXA
202	01.04.0009	PAO DE QUEIJO MULTIGRAOS EMPANADO 30G - CX 10KG - 5 UN DE 2KG	7898694170313	PT	17898694170310	CAIXA
